
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 Vr(avg)	 Vz(avg)
0.7525	0.835	0.6	0.625	0.0747749	0.0147199
0.835	0.9175	0.6	0.625	0.00507053	-0.0457582
0.9175	1	0.6	0.625	-0.031607	-0.0467915
0.67	0.7525	0.625	0.65	-0.0166972	0.0733869
0.7525	0.835	0.625	0.65	-0.0900739	0.0180198
0.835	0.9175	0.625	0.65	-0.0445233	-0.000791901
0.9175	1	0.625	0.65	-0.0118432	0.0121215
0.67	0.7525	0.65	0.675	-0.0594726	0.0128489
0.7525	0.835	0.65	0.675	0.0431158	0.016975
0.835	0.9175	0.65	0.675	0.0628156	-0.0204457
0.9175	1	0.65	0.675	-0.0401599	-0.0137319
0.67	0.7525	0.675	0.7	-0.0313373	-0.0333855
0.7525	0.835	0.675	0.7	-0.0413911	0.0318305
0.835	0.9175	0.675	0.7	-0.0437408	-0.0192095
0.9175	1	0.675	0.7	0.0237305	-0.0243006
0.67	0.7525	0.7	0.725	-0.00614519	-0.102633
0.7525	0.835	0.7	0.725	-0.0394997	-0.0413352
0.835	0.9175	0.7	0.725	-0.0831591	-0.0301443
0.9175	1	0.7	0.725	0.033001	-0.043782
0.67	0.7525	0.725	0.75	-0.0386516	-0.00267952
0.7525	0.835	0.725	0.75	0.00297383	0.0447536
0.835	0.9175	0.725	0.75	-0.0324736	-0.0419926
0.9175	1	0.725	0.75	-0.0188538	0.0244655
0.67	0.7525	0.75	0.775	-0.0192479	-0.0703436
0.7525	0.835	0.75	0.775	0.0108561	0.010973
0.835	0.9175	0.75	0.775	-0.0598611	-0.00842991
0.9175	1	0.75	0.775	0.00654678	0.0920539
0.67	0.7525	0.775	0.8	0.00157329	0.066233
0.7525	0.835	0.775	0.8	0.00421681	0.00167096
0.835	0.9175	0.775	0.8	-0.0884879	0.0309281
0.9175	1	0.775	0.8	-0.0186814	0.0461318
0.67	0.7525	0.8	0.825	-0.0725124	-0.00314387
0.7525	0.835	0.8	0.825	-0.00208753	-0.0456027
0.835	0.9175	0.8	0.825	0.0134515	-0.0550326
0.9175	1	0.8	0.825	-0.0564032	0.0529527
0.67	0.7525	0.825	0.85	-0.00949589	0.0438134
0.7525	0.835	0.825	0.85	-0.0498566	-0.0106128
0.835	0.9175	0.825	0.85	-0.00372211	0.0217218
0.9175	1	0.825	0.85	0.0546535	0.0126583
0.67	0.7525	0.85	0.875	0.0570673	-0.0238837
0.7525	0.835	0.85	0.875	-0.0023169	-0.0121256
