
 r(lower)	 r(upper)	 z(lower)	 z(upper)	 r(mid)	 z(mid)	 Vr(time avg)	 Vz(time avg)	 Temp(time avg)
0.9175	1	0.45	0.475	0.95875	0.4625	0.0636216	0.00532525	79.8866
0.67	0.7525	0.475	0.5	0.71125	0.4875	0.0212104	-0.0219629	110.741
0.7525	0.835	0.475	0.5	0.79375	0.4875	0.00659684	0.0143365	104.962
0.835	0.9175	0.475	0.5	0.87625	0.4875	0.0392901	-0.0176845	91.8234
0.9175	1	0.475	0.5	0.95875	0.4875	0.0860878	-0.000715425	76.231
0.67	0.7525	0.5	0.525	0.71125	0.5125	0.0360637	0.0190597	132.751
0.7525	0.835	0.5	0.525	0.79375	0.5125	0.0485667	-0.00345674	124.661
0.835	0.9175	0.5	0.525	0.87625	0.5125	0.0180483	-0.0164019	110.677
0.9175	1	0.5	0.525	0.95875	0.5125	0.0402468	-0.0267257	89.6487
0.67	0.7525	0.525	0.55	0.71125	0.5375	0.0452745	0.000876397	137.714
0.7525	0.835	0.525	0.55	0.79375	0.5375	0.0343953	0.00982796	130.405
0.835	0.9175	0.525	0.55	0.87625	0.5375	0.0859129	0.00748245	115.703
0.9175	1	0.525	0.55	0.95875	0.5375	0.0411597	-0.0144545	93.8864
0.67	0.7525	0.55	0.575	0.71125	0.5625	0.0325286	0.0457162	146.511
0.7525	0.835	0.55	0.575	0.79375	0.5625	0.0461285	0.00710904	138.407
0.835	0.9175	0.55	0.575	0.87625	0.5625	0.0212117	-0.01601	122.376
0.9175	1	0.55	0.575	0.95875	0.5625	0.0531268	0.00603264	99.5141
0.67	0.7525	0.575	0.6	0.71125	0.5875	0.00336608	-0.00771806	152.612
0.7525	0.835	0.575	0.6	0.79375	0.5875	0.051359	-0.0449365	142.655
0.835	0.9175	0.575	0.6	0.87625	0.5875	0.0230456	-0.0281993	128.601
0.9175	1	0.575	0.6	0.95875	0.5875	0.0816835	-0.00260505	104.076
0.67	0.7525	0.6	0.625	0.71125	0.6125	0.0486745	-0.0132023	159.34
0.7525	0.835	0.6	0.625	0.79375	0.6125	0.0501472	0.0159735	151.966
0.835	0.9175	0.6	0.625	0.87625	0.6125	0.0397854	-0.0226948	133.59
0.9175	1	0.6	0.625	0.95875	0.6125	0.0261181	0.0151719	108.631
0.67	0.7525	0.625	0.65	0.71125	0.6375	0.0056811	0.0309002	166.85
0.7525	0.835	0.625	0.65	0.79375	0.6375	-0.00139059	-0.00376371	157.162
0.835	0.9175	0.625	0.65	0.87625	0.6375	0.0580512	0.012851	139.948
0.9175	1	0.625	0.65	0.95875	0.6375	0.0315803	0.0014751	113.693
0.67	0.7525	0.65	0.675	0.71125	0.6625	0.0113087	0.0265159	155.966
0.7525	0.835	0.65	0.675	0.79375	0.6625	0.0290619	0.0143256	148.074
0.835	0.9175	0.65	0.675	0.87625	0.6625	0.0641285	-0.00928369	130.044
0.9175	1	0.65	0.675	0.95875	0.6625	0.0581647	0.00216377	106.326
0.67	0.7525	0.675	0.7	0.71125	0.6875	0.00232267	0.018672	184.454
0.7525	0.835	0.675	0.7	0.79375	0.6875	0.018072	0.0377691	173.074
0.835	0.9175	0.675	0.7	0.87625	0.6875	0.0114781	-0.00381926	154.332
0.9175	1	0.675	0.7	0.95875	0.6875	0.0425842	0.0210701	123.619
0.67	0.7525	0.7	0.725	0.71125	0.7125	0.0131308	0.00052992	193.06
0.7525	0.835	0.7	0.725	0.79375	0.7125	-0.00466431	0.0277445	181.078
0.835	0.9175	0.7	0.725	0.87625	0.7125	0.00165407	0.00761108	160.164
0.9175	1	0.7	0.725	0.95875	0.7125	0.0503443	0.0318126	129.601
0.67	0.7525	0.725	0.75	0.71125	0.7375	-0.0172424	0.0390396	199.752
0.7525	0.835	0.725	0.75	0.79375	0.7375	0.0355698	0.0739214	189.62
0.835	0.9175	0.725	0.75	0.87625	0.7375	0.0316276	0.065148	169.136
0.9175	1	0.725	0.75	0.95875	0.7375	0.044821	0.0946009	135.609
0.67	0.7525	0.75	0.775	0.71125	0.7625	-0.00544015	0.0826784	211.891
0.7525	0.835	0.75	0.775	0.79375	0.7625	0.013066	0.106915	199.199
